,name,price,status,shipping,free_returns,items_sold
1,Maveric Cricket Bat,17500,Brand New,1500,False,
2,New ListingUzi Sports Test Cricket Bat - Phoenix,45000,New (Other),1084,False,
3,Gray Nicholls Grade 1 Cricket Bat,27500,Pre-Owned,1015,False,
4,GM Siren 909 Cricket Bat,2999,New (Other),1925,False,
5,BDM MASTER BLASTER GRADE 2 ENGLISH WILLOW CRICKET BAT,16500,Brand New,1425,False,
6,New ListingNB 1260 Players Edition Cricket Bat,15999,Pre-Owned,2295,False,
7,BDM DYNAMIC SUPER GRADE 1 ENGLISH WILLOW CRICKET BAT,27500,Brand New,1425,False,
8,NEW Zeepk Tennis Tape Soft Ball Cricket Bat Full Size Hand Made Kashmir Willow,3699,Brand New,0,True,
9, English Willow Grade 1+ Cricket Bat,14000,Brand New,,False,
10,Insignia County SH Cricket Bat,20000,Brand New,1930,False,
11,New ListingBDM Armstrong Cricket Bat & Bag REGD.NO. A20740/78 MILLENNIUM CERTIFIED CO.,10000,Pre-Owned,2192,True,
12,Gunn & Moore - GM Travis Head Player Edition Cricket Bat ,55000,Brand New,1144,False,
13,Grand Edition Cricket Bat English Willow,8900,Brand New,0,False,
14,Custom made Grade 1 English Willow Cricket Bat + Free Bat Cover + Free Toe Guard,12500,Brand New,0,True,0
15,MRF Elite English Willow Cricket Bat(SH) - 2.8.5 lb.oz(1147 g),10000,New (Other),2287,False,
16,New ListingPro series Cricket Bat,7999,Pre-Owned,930,False,
17,Gray-Nicolls Elite Adult Cricket Bat,44383,Brand New,0,False,0
18,"Pioneer "" T20 "" English Willow Cricket Bat",4999,Brand New,899,False,
19,CA 15000 PLUS CRICKET BAT,40000,Brand New,0,False,
20,2 MB Malik Tape & Tennis Ball Cricket Bat BOOM BOOM,6900,Brand New,1299,False,
21,New ListingCA cricket bat 8000 plus,10000,Pre-Owned,2295,False,
22,BAS Vampire Commander English willow cricket bat 2019-2020 Model,26999,Brand New,0,False,0
23, English Willow Grade 1+ Cricket Bat,13500,Brand New,,False,
24,Rare Vintage SP Saint Peter Master Cricket bat English Willow 3.5 Lbs ! St Peter,16486,Pre-Owned,5187,False,
25, English Willow Grade 1+ Cricket Bat,13500,Brand New,,False,
26,English Willow Cricket Bat,9632,Brand New,1482,False,0
27,"Gray Nicolls Legend, JS Wright Player edition Grade 1 English Willow Cricket Bat",15500,Brand New,4500,False,
28,TON Genuine Jonny Bairstow Cricket Bat - English Willow - NEW,9000,Brand New,5470,False,
29,MRF elite cricket bat,58000,New (Other),2100,False,
30,Custom Made English Willow Cricket Bat (NURTURED IN INDIA) Full Size Bat ,3990,Brand New,0,False,
31,Purple English GRAY-NICOLLS Cricket Bat | Free Shipping ,12349,Pre-Owned,0,False,
32,Grade 3-4 english willow cricket bat,6000,Brand New,1425,False,
33,Hamleys Cricket Bat Gray Nicolls GN Scoop Select-Weighs 2 LBS. 4.8 OZ.,6000,Pre-Owned,1425,True,
34, English Willow Grade 1+ Cricket Bat,13500,Brand New,,False,
35,Cricket Bat,5500,Brand New,0,False,
36,English willow cricket bat,16200,New (Other),2115,False,
37,Vintage Gunn & Moore Cricket Bat Flare DXM,10000,Pre-Owned,0,False,
38,MRF Grand 1.0 Cricket Bat,37500,New (Other),2000,False,
39,Plain English Willow Cricket Bat Grade 1st +Free MRF Genius Emboss Sticker,8037,Brand New,0,False,29
40,SS Limited Edition GRADE 1 ENGLISH WILLOW CRICKET BAT 2.9 Low Profile,28200,Brand New,500,False,0
41,New Balance Cricket Bat Handle Grips- Premium Quality Non Slip Multi Color Grips,9261,Brand New,1852,False,
42,Cricket Bat Handle Grips- Premium Quality OCTOPUS Non Slip Black CW,5186,Brand New,1852,False,
43,cricket bat Seven Plus Cata Willow,3095,Pre-Owned,1695,False,
44,Cricket Bat Grip Colorful,800,Brand New,0,False,
45,cricket bat,45000,Brand New,0,False,0
46,Players Cricket Bat 41mm Edge 65mm Spine 30mm Toe  English Willow Bat,24900,New (Other),0,False,
47,New Balance DC580 DC 580 English Willow Cricket Bat Grade 4 Barely Used 5*SELLER,12999,Pre-Owned,6950,False,
48,cricket bat,33300,Brand New,2115,False,
49,Blankbats Limited edition B4 cricket bat,35000,Brand New,1355,False,
50,English Willow Grade 1 Cricket Bat,30000,Pre-Owned,2115,False,
51,Brand New B3 Custom English Willow Cricket Bat,27000,Brand New,2795,False,
52, English Willow Grade 1+ Cricket Bat - MAK,13200,Brand New,2115,False,
53, English Willow Cricket Bat Grade 1,16000,Pre-Owned,1795,False,
54,Kookaburra Sword Mini Cricket Bat Hand Crafted in Australia ,3675,Pre-Owned,550,False,
55,Gray Nicolls Predator 3 Halestorm Cricket Bat ,50000,New (Other),1084,False,
56,New ListingUzi Sports Test Cricket Bat - Green Mamba,45000,Brand New,1084,False,
57,SG IK Ultimate Cricket Bat - Ishan Kishan ,35000,Brand New,1084,False,
58,CA Sports Power Cricket Bat Orange English Willow,6999,New (Other),1465,False,
59,Gray Nicolls Pro Performance Cricket Bat ,50000,Brand New,1084,False,0
60,Cricket Bat Handle Grips- Premium Quality OCTOPUS Non Slip Multi Color Grips,5186,Brand New,1852,False,
61,Cricket Bat Handle Grips- Premium Quality Pro Impact Non Slip Multi Color Grips,5186,Brand New,1852,False,
63,Cricket Bat Grips- Premium Quality Pro Impact Non Slip Purple Pack Of 1,814,Brand New,1852,False,
64,Cricket Bat Grips- Premium Quality Pro Impact Non Slip Blue Pack Of 1,814,Brand New,1852,False,
65,Cricket Bat Handle Grips- Premium Quality OCTOPUS Non Slip Red/Silver Pack Of 5 ,2889,Brand New,1852,False,
66,Cricket Bat Handle Grips- Premium Quality OCTOPUS Non Slip Red/Silver Pack Of 1,814,Brand New,1852,False,
67,SS Master Series - M.S Dhoni Players Cricket Bat ,65000,Brand New,1084,False,
68,CW Natural Rubber Army Print Cricket Bat Grips (Camouflage) - Pack of 1,814,Brand New,1852,False,0
69,SG Sunny Gold Cricket Bat ,45000,Brand New,1084,False,
70,SS Master 9000 - Players Cricket Bat,50000,New (Other),1084,False,
71,Gray Nicolls Pro Performance Cricket Bat ,50000,Brand New,1084,False,0
72,SG Triple Crown Classic Cricket Bat - Jason Holder Players - LB & LH ,60000,New (Other),1084,False,
73,BAS Retro Vintage Player Edition Cricket Bat ,60000,Brand New,1084,False,
74,SS/TON Limited Edition Cricket Bat with Retro Stickers. ,33000,Brand New,1084,False,
75,CA Sports Somo Cricket Bat Black Green English Willow,6999,New (Other),1465,False,
76,Cricket Bat Grip Cone Allows Easy Application Of New Grips,2370,Brand New,1852,False,78
77,New Balance Padded Cricket Bat Cover Full Size -BLUE,2444,Brand New,1852,False,
78,Cricket Bat Handle Grips- Premium Quality OCTOPUS Non Slip Red Pack Of 1 CW,814,Brand New,1852,False,
