,name,price,status,shipping,free_returns,items_sold
0,THOR COPPER / RAWHIDE HAMMER MALLET Size 208-A 210-1 212-2 214-3 216-4 222-5,14106,Brand New,3137,False,93
1, 16 oz Curved Claw Hammer with Steel Head and Fiberglass Handle,1595,Brand New,,False,
2,"8oz Rubber Mallet Hammer Fiberglass Grip Handle 11"" inch Length NEW",1069,Brand New,,True,
3,12oz Rubber Mallet Hammer Fiberglass Grip Handle 11.5 inch Length NEW,799,Brand New,,True,
4,Dewalt 3 lb. Fiberglass Drilling Hammer Forged Steel Head Overstrike Protection,2238,Brand New,0,True,0
5,"New KING 8 Oz Stubby Claw Hammer w/ Fiberglass Handle, Steel, Small Hand Tool",1245,Brand New,,False,
6,New ListingVintage small brass gunsmith jewelers Hammer,500,Pre-Owned,500,False,
7,Dewalt 2 lb. Fiberglass Drilling Hammer Forged Steel Head Overstrike Protection,2291,Brand New,0,True,0
8,32 OZ  BRASS HEAD HAMMER TOOL 2 LB FIBERGLASS HANDLE RUBBER GRIP,3795,Brand New,,True,223
9,Dalluge Hammer 01650 used,2500,Pre-Owned,1035,False,
10,DeWalt DWHT51366 22 oz. Demolition Hammer,3393,Brand New,,False,252
11,Essex Brass Hammer Tool ,1564,Brand New,,False,128
12,"Vintage HART 25 THE FRAMER FORGED USA Framing Hammer,Smooth Face 16'' Handle ",225,Pre-Owned,930,False,
13,ABN Dead Blow Hammer 2 lb Pound Mallet with Non-Marring Rubber Coating,1299,Brand New,,True,
14,"4 OZ. SMALL BRASS HAMMER KNURLED 5/8"" ALUMINUM HANDLE * EXCELLENT GRIP USA MADE",2179,Brand New,0,False,
15,Stanley 51-167 22-Ounce FatMax Xtreme AntiVibe Rip Claw Framing Hammer,2499,Brand New,,True,371
16,2lb Forged Steel Solid Brass Sledge Hammer Non Sparking Fiberglass Soft Handle,3995,Brand New,,True,
17,DEAD BLOW HAMMER SET – deadblow hammers – high visibility green – hand tools,3900,Brand New,,False,132
18,Vaughan Soft Face Hammer SF6 Double Head 6oz with Hickory Handle Made in USA ,2435,Brand New,,True,0
19,LUDELL TOOLS 4 OUNCE BALL PEEN HAMMER - MADE IN USA - PIEN BALLPIEN - OZ OZ.,184,Pre-Owned,461,True,
20,"VINTAGE PROTO BRASS HAMMER 1430G MADE IN USA, OCTAGONAL HICKORY HANDLE",1550,Pre-Owned,900,False,
21,Dead Blow Hammer Multi-Purpose Dual-Face Hammer Brass / ABS Head Hammer 10oz,1374,Brand New,,True,1108
22,OLD HAMMER BLACKSMITH HAMMER WITH WOODEN HANDLE AND TAPERED EDGE,799,Pre-Owned,975,False,
23,"Hart   The Framer  Hickory hammer handle 16"" long USA Hart tool co.",995,Brand New,1065,False,
24,cobbler's hammer NICE,2500,Pre-Owned,0,False,
25,Bridgeport Box Terrier Crate Hammer,550,Pre-Owned,705,False,
26,"Estwing Hard Face Sledge Hammer, Fiberglass Handle ESH-F",7999,Brand New,,True,31
27,Small 8” Vintage Jeweler Silversmith Hammer Preowned,999,Pre-Owned,725,False,
28,DeWALT DWHT51452 22-Ounce 1-Piece Balanced Steel Smooth Hammer,2499,Brand New,895,True,153
29,Maxpower Fiberglass Curved Claw Hammer Forged Steel Head Overstrike Protection,1414,Brand New,0,False,0
30,vintage Blue Grass hammer head,1000,Pre-Owned,1065,False,
31,"SNAP-ON TOOLS 16oz Soft Grip Dead Blow Hammer,  HBFE16",1150,Pre-Owned,800,False,
32,DeWALT DWHT51439 16-Ounce 1-Piece Balanced Design Steel Curve Claw Hammer,1999,Brand New,895,True,141
33,New ListingTEMCO No.3 COPPER HEAD HAMMER,1495,Pre-Owned,2435,False,
34,Estwing Fiberglass Forward Weight 21 Ounce Claw Hammer,4500,Pre-Owned,1600,False,
35,PROTO TOOLS 32 OUNCE BALL PEEN HAMMER - MADE IN USA - PIEN BALLPIEN - OZ OZ.,650,Pre-Owned,791,True,
36,New ListingVintage Hammer Blacksmith Type,1595,Pre-Owned,1235,False,
37,"STILETTO TITANIUM HAMMER-14oz-MILLED FACE-16"" CURVED HICKORY HANDLE-W/8"" AIRGRIP",6900,Brand New,1500,False,
38,14 oz. Stubby Claw Hammer Steel  Fiberglass Handle Pull Out Nail Holedr,1169,Brand New,0,True,
39,16OZ Copper Head Hammer Brass Ball Stubby Hammer Nonslip Non-Sparking Anti-Shock,1619,Brand New,0,True,
40,DeWALT DWHT51453 28-Ounce 1-Piece Balanced Steel Framing Hammer,2499,Brand New,895,True,290
41,"True Temper Rock Hammer - 1 lb, 14 oz",1550,Pre-Owned,895,False,
42,BELKNAP HAMMER 1352 CHROMED WELL USED,500,Pre-Owned,1465,False,
43,New ListingVINTAGE PLUMB  24 OZ BALL PEEN (PEIN) HAMMER,1500,Pre-Owned,1720,False,
44,Dewalt 22 oz. Demolition Hammer ,2829,Brand New,1595,False,67
45,TEMCO 2 NON SPARKING BRASS BRONZE OR COPPER HAMMER MALLET NON MAGNETIC MAGNET,1419,Pre-Owned,691,True,
46,3 lb. Fiberglass Drilling Hammer,1976,Brand New,0,False,0
47,New ListingLot of Vintage Plumb and Keen Kutter Claw Hammers - Tight Original Wooden Handle,2000,Pre-Owned,850,False,
48,16 oz. claw hammer with wood handle,899,Brand New,0,True,92
49,Vintage 32 Ounce Stanley 60B Straight Claw Hammer Head,1799,Pre-Owned,930,False,
50,Barco 7 Oz Hammer 08107 Wood Handle Claw Hammer Made In USA Tool Light Duty,1395,Open Box,0,False,
51,Vintage Craftsman 16oz Claw Hammer Double Claw Steel Shaft Rubber Handle. USA,1999,Pre-Owned,999,False,
52,"FISKARS #750250 28oz FRAMING HAMMER, ISOCORE 4x LESS SHOCK",2990,Brand New,0,False,40
53,Vintage Mellor No.1 Box Opener Sedalia MO. Crate hammer Pry tool Pat Aug 4 03,1999,Pre-Owned,1375,False,
54,Stanley Dead Blow Hammer 24 oz,2499,Pre-Owned,,False,
55,2-Way 25mm Mini Small Rubber And Nylon Head Face Mallet Hammer Handle Shaft,669,Brand New,0,False,
56,8 oz. Small Stubby Ball Pein Hammer Fiberglass Handle,985,Brand New,,True,
57,12 OZ STUBBY CLAW HAMMER w/ MAGNETIC NAIL HOLDER Ounce Small Head Fiberglass ,1095,Brand New,0,True,732
58,craftsman framing hammer,8000,Pre-Owned,1650,False,
59,Milwaukee Framing Hammer Milled Face Magnetic Nail Set Straight Claw Tool 22 oz,3182,Brand New,0,False,0
60,"New ListingEarly 7"" Metal Tack Hammer  with Claw on Handle Antique / Vintage",2699,Pre-Owned,1165,True,
61,"Estwing Hard Face Sledge Hammer, Hickory Wood Handle ESH-W",7199,Brand New,,True,
62,"Vaughan 60203 Nail Hammer Handle,16 In Hickory",604,Brand New,500,True,59
